shop1_item1,shop1_item2,shop1_item3,shop1_item4,shop1_item5,shop2_item1,shop2_item2,shop2_item3,shop2_item4,shop2_item5,Holiday
1,1,3,3,3,1,1,5,3,1,0
1,1,1,1,2,1,2,2,1,1,0
1,1,1,5,8,1,1,3,1,5,0
1,1,2,1,5,2,1,1,2,1,0
1,1,1,1,5,1,1,1,2,2,0
1,1,1,1,2,4,4,1,5,1,0
1,1,2,1,3,1,3,9,3,1,0
1,1,3,2,1,1,2,2,2,1,0
1,1,4,3,2,1,1,1,1,2,0
1,1,11,2,2,7,1,4,2,1,0
1,1,5,8,18,6,14,5,5,3,0
1,1,2,2,9,3,2,5,3,2,0
1,1,10,1,6,6,2,6,8,2,0
1,1,2,3,1,2,15,17,7,2,0
1,1,9,3,1,2,1,1,6,1,0
1,1,4,2,5,2,9,5,1,2,0
1,1,2,4,3,1,3,8,6,3,0
1,1,2,6,3,1,6,7,17,4,0
1,1,2,3,1,2,3,2,1,4,0
1,1,1,1,3,1,7,13,4,1,0
1,1,5,1,4,2,2,17,3,1,0
1,1,2,2,1,2,1,7,1,1,0
1,1,1,1,2,1,2,3,11,6,0
1,1,2,1,2,2,3,2,7,2,0
1,1,1,9,4,3,3,5,4,5,0
1,1,2,8,1,3,1,1,1,1,0
1,1,2,1,1,1,7,5,1,3,0
1,1,4,1,2,1,1,1,1,3,0
1,1,12,3,4,2,1,3,3,11,0
1,1,2,3,1,6,9,4,5,7,0
1,1,4,12,1,7,1,10,12,13,0
1,1,1,18,32,19,29,16,9,27,0
1,1,1,13,35,1,5,10,1,1,0
1,1,7,2,4,2,4,1,1,1,0
1,1,2,3,11,2,9,1,15,17,0
1,1,2,1,13,4,1,4,6,4,0
1,1,4,1,2,6,1,3,3,3,0
1,1,3,12,5,8,3,3,5,1,0
1,1,2,3,4,2,2,1,7,1,0
1,1,1,2,1,7,3,1,2,1,0
1,1,2,1,2,1,1,1,2,1,0
1,1,1,1,3,5,2,6,2,1,0
1,1,5,3,2,5,2,1,1,1,0
1,1,1,2,5,8,2,1,3,1,0
1,1,1,1,1,2,3,5,1,3,0
1,1,1,1,9,5,1,1,3,3,0
1,1,6,3,1,2,1,3,5,7,0
1,1,2,1,1,1,1,1,2,1,0
1,1,3,2,3,13,3,12,3,9,0
1,1,10,1,3,2,6,7,2,10,0
1,1,5,1,4,1,2,1,6,1,0
1,1,1,2,1,2,4,1,1,2,0
1,1,2,1,7,4,2,2,9,1,0
1,1,15,1,1,6,9,1,4,3,0
1,1,1,1,4,3,1,3,2,2,0
1,1,1,5,1,2,1,2,3,3,0
1,1,6,8,2,9,1,4,12,5,0
1,1,13,13,5,12,14,8,6,9,0
1,1,1,7,2,7,2,6,8,13,0
1,1,2,1,6,3,1,1,2,4,0
1,1,5,1,5,5,3,5,2,2,0
1,1,2,4,7,1,6,4,1,23,0
1,1,5,2,1,3,2,2,1,2,0
1,1,1,1,3,3,5,1,4,1,0
1,1,5,2,7,6,7,13,15,6,0
1,1,1,1,4,1,3,4,1,2,0
1,1,4,1,1,14,2,2,1,1,0
1,1,1,1,1,3,6,3,2,1,0
1,1,3,2,2,2,1,3,1,1,0
1,1,1,1,4,1,1,1,1,1,0
1,1,1,1,1,1,1,4,2,1,0
1,1,1,5,4,1,1,3,1,2,0
1,1,1,2,2,1,1,1,1,2,0
1,1,1,2,2,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,2,4,1,0
1,1,3,1,1,3,2,1,2,2,0
1,1,2,2,6,3,14,9,1,9,0
1,1,1,1,1,1,1,5,6,1,0
1,1,2,3,5,3,3,8,4,2,0
1,1,4,4,8,5,3,11,2,5,0
1,1,3,1,1,1,2,2,3,4,0
1,1,4,9,2,1,3,2,4,1,0
1,1,2,3,3,5,7,1,1,2,0
1,1,1,1,3,6,4,1,3,1,0
1,1,2,1,3,3,1,3,8,1,0
1,1,3,6,7,4,8,4,1,3,0
1,1,3,9,7,2,7,1,3,9,0
1,1,8,4,2,2,8,14,3,8,0
1,1,1,3,1,1,1,3,5,12,0
1,1,8,4,2,6,3,5,4,3,0
1,1,4,2,1,1,6,2,5,5,0
1,1,3,2,2,1,4,3,2,1,0
1,1,3,7,2,5,3,1,1,7,0
1,1,1,2,1,1,1,5,2,1,0
1,1,1,1,11,1,13,6,11,5,0
1,1,2,1,3,8,5,7,12,14,0
1,1,1,1,1,1,3,4,2,5,0
1,1,2,3,1,1,1,2,3,1,0
1,1,2,3,3,2,3,5,4,1,0
1,1,2,1,1,3,2,3,1,1,0
1,1,1,5,3,3,2,1,3,2,0
1,1,1,3,2,1,1,2,2,3,0
1,1,1,1,1,1,1,1,2,1,0
1,1,1,2,3,2,1,2,2,1,0
1,1,3,1,1,2,3,4,5,1,0
1,1,1,2,1,3,1,4,1,2,0
1,1,2,1,1,1,2,2,1,1,0
1,1,1,1,2,1,2,1,3,1,0
1,1,7,2,7,2,2,1,1,1,0
1,1,1,2,1,1,7,2,5,3,0
1,1,2,3,1,1,1,2,1,1,0
1,1,2,1,4,1,1,1,1,2,0
1,1,1,3,1,3,1,1,3,1,0
1,1,1,2,1,1,1,1,3,1,0
1,1,1,6,1,2,1,1,3,1,0
1,1,1,1,3,1,1,2,1,3,0
1,1,3,1,5,1,2,2,1,1,0
1,1,2,3,1,2,2,4,4,5,0
1,1,2,2,6,2,1,1,3,2,0
1,1,2,2,2,4,1,1,1,1,0
1,1,4,1,5,3,2,4,2,4,0
1,1,1,5,1,1,2,3,4,2,0
1,1,3,4,1,1,4,1,2,6,0
1,1,2,1,4,1,10,2,5,5,0
1,1,2,2,5,1,2,2,9,1,0
1,1,3,3,3,3,3,2,16,16,0
1,1,4,3,10,7,3,7,9,17,0
1,1,3,6,3,8,13,15,6,2,0
1,1,1,4,4,1,3,3,4,2,0
1,1,2,1,4,2,8,1,5,2,0
1,1,4,1,1,2,3,1,2,3,0
1,2,1,1,1,2,2,1,1,2,0
1,2,2,1,1,2,1,3,2,1,0
1,2,1,1,1,1,1,1,2,2,0
1,2,3,1,1,1,2,1,1,1,0
1,2,1,1,1,1,3,7,1,2,0
1,2,4,5,2,3,2,1,2,1,0
1,2,6,5,1,4,1,3,10,1,0
1,2,2,3,1,1,8,3,1,4,0
1,2,7,2,9,7,6,7,6,1,0
1,2,1,6,6,5,2,1,3,1,0
1,2,2,2,7,14,4,3,3,3,0
1,2,5,6,14,3,9,3,1,2,0
1,2,5,1,2,1,13,2,7,9,0
1,2,2,2,6,11,2,3,3,4,0
1,2,5,7,2,3,1,6,2,3,0
1,2,2,6,1,3,2,9,13,3,0
1,2,10,24,6,3,1,30,19,10,0
1,2,3,2,1,1,1,1,2,1,0
1,2,1,5,5,3,5,3,1,1,0
1,2,1,3,2,2,2,1,1,2,0
1,2,1,2,2,1,1,2,1,1,0
1,2,4,1,1,1,1,2,4,3,0
1,2,3,2,2,1,2,1,1,3,0
1,2,6,1,2,6,6,14,9,8,0
1,2,2,1,2,4,2,3,3,1,0
1,2,3,1,20,8,20,16,2,5,0
1,2,4,2,3,3,8,7,5,4,0
1,2,3,4,4,3,6,8,3,3,0
1,2,3,1,8,14,2,24,3,1,0
1,2,4,5,10,3,5,3,4,2,0
1,2,3,3,3,1,9,8,3,6,0
1,2,1,12,1,2,7,2,21,30,0
1,2,6,5,9,6,4,5,1,5,0
1,2,3,4,1,1,1,3,1,3,0
1,2,1,2,4,1,4,5,2,2,0
1,2,1,2,1,2,5,3,6,1,0
1,2,1,2,2,2,1,1,8,3,0
1,2,1,1,8,2,4,4,2,1,0
1,2,3,4,2,4,3,1,1,4,0
1,2,1,1,1,2,1,3,1,8,0
1,2,3,4,5,2,3,1,1,2,0
1,2,5,2,1,2,1,1,4,1,0
1,2,3,2,2,7,44,10,11,4,0
1,2,3,8,1,24,1,2,4,2,0
1,2,2,1,2,4,2,1,1,1,0
1,2,3,1,1,1,11,12,3,7,0
1,2,3,6,3,7,10,7,7,2,0
1,2,1,5,54,7,22,6,4,6,0
1,2,1,11,2,52,15,3,3,1,0
1,2,11,7,1,6,4,9,1,3,0
1,2,4,7,2,2,2,14,1,5,0
1,2,6,1,1,1,4,3,4,1,0
1,2,3,2,13,2,7,3,2,1,0
1,2,7,5,7,5,5,5,5,14,0
1,2,7,1,1,2,1,8,4,5,0
1,2,1,1,1,2,3,3,2,9,0
1,2,6,12,4,21,7,10,34,2,0
1,2,2,6,1,2,4,1,4,1,0
1,2,1,5,1,2,14,12,5,14,0
1,2,8,1,4,2,3,6,5,5,0
1,2,7,4,3,2,6,2,19,11,0
1,2,1,3,2,2,7,1,1,1,0
1,2,6,11,4,6,4,10,3,1,0
1,2,4,3,1,4,2,1,1,1,0
1,2,1,1,2,1,2,1,1,1,0
1,2,1,2,2,5,3,1,3,1,0
1,2,4,1,2,5,4,5,2,1,0
1,2,1,1,1,1,3,2,5,4,0
1,2,2,1,11,3,2,3,8,4,0
1,2,2,1,2,3,3,6,1,1,0
1,2,3,1,2,1,1,2,2,3,0
1,2,1,4,1,4,2,1,1,1,0
1,2,1,2,6,6,1,3,3,4,0
1,2,1,3,2,2,3,3,2,6,0
1,2,2,1,3,3,2,2,1,1,0
1,2,1,6,3,4,13,9,2,3,0
1,2,1,2,5,2,6,1,1,2,0
1,2,3,1,1,1,1,3,3,2,0
1,2,1,2,4,4,3,2,2,4,0
1,2,2,2,7,15,6,7,2,4,0
1,2,2,3,5,3,3,3,1,1,0
1,2,1,16,2,2,1,1,1,1,0
1,2,1,1,2,1,1,1,1,2,0
1,2,2,1,1,1,1,1,1,2,0
1,2,1,3,2,1,2,2,2,3,0
1,2,1,3,2,13,5,3,10,2,0
1,2,1,1,3,2,7,8,1,8,0
1,2,2,1,4,1,2,3,1,1,0
1,2,7,3,2,7,1,7,1,3,0
1,2,7,1,9,4,2,7,6,1,0
1,2,8,1,3,7,4,10,4,2,0
1,2,2,1,5,3,5,3,2,4,0
1,2,2,1,6,5,2,4,2,9,0
1,2,4,2,2,9,7,5,1,8,0
1,2,2,2,2,1,6,5,3,7,0
1,2,4,1,2,2,2,2,1,1,0
1,2,4,2,4,1,3,5,1,3,0
1,2,1,1,1,3,1,2,3,6,0
1,2,1,1,1,6,6,3,1,3,0
1,2,5,4,4,4,2,3,7,17,0
1,2,1,6,5,7,3,9,4,2,0
1,2,2,1,1,1,5,1,8,4,0
1,2,1,4,1,3,5,1,6,10,0
1,2,2,3,3,4,3,3,6,4,0
1,2,1,4,2,1,8,1,1,1,0
1,2,3,1,8,1,3,4,1,3,0
1,2,2,4,1,3,1,1,1,1,0
1,2,1,1,3,1,1,1,2,4,0
1,2,3,6,3,3,3,2,2,1,0
1,2,6,1,2,3,2,1,5,1,0
1,2,1,3,2,3,4,4,2,1,0
1,2,3,3,2,4,1,2,3,4,0
1,2,3,5,2,3,2,3,4,4,0
1,2,4,4,3,1,13,3,3,5,0
1,2,3,3,2,2,4,1,5,1,0
1,2,1,4,2,6,4,4,5,9,0
1,2,1,11,8,2,8,5,4,2,0
1,2,2,1,1,4,4,5,1,1,0
1,2,7,2,6,13,3,1,4,1,0
1,2,4,2,7,5,4,5,1,7,0
1,2,4,1,2,8,3,2,2,1,0
1,2,1,3,5,2,3,1,1,1,0
1,3,1,4,3,2,1,1,1,2,0
1,3,1,2,5,2,6,1,1,1,0
1,3,2,5,6,4,1,13,2,1,0
1,3,2,7,1,3,2,5,2,1,0
1,3,1,1,3,3,1,1,6,7,0
1,3,5,5,3,7,9,5,28,27,0
1,3,3,2,9,2,2,9,21,7,0
1,3,5,4,10,1,1,3,5,2,0
1,3,8,4,4,5,6,2,5,5,0
1,3,1,2,1,2,4,2,1,1,0
1,3,2,16,1,4,7,1,4,2,0
1,3,5,10,2,6,8,1,3,10,0
1,3,3,10,12,4,2,3,2,2,0
1,3,21,4,4,1,3,1,23,11,0
1,3,5,3,10,3,2,4,2,1,0
1,3,4,3,2,3,1,5,3,9,0
1,3,8,3,3,4,4,1,1,5,0
1,3,4,4,8,18,5,3,7,7,0
1,3,1,1,1,3,21,29,51,10,0
1,3,1,14,22,4,19,5,1,4,0
1,3,1,1,1,5,2,1,24,38,0
1,3,2,4,2,3,2,20,9,3,0
1,3,2,6,1,8,3,5,3,2,0
1,3,3,3,3,2,2,2,1,3,0
1,3,7,1,1,2,1,3,2,1,0
1,3,1,2,4,6,8,1,3,2,0
1,3,1,13,4,1,1,6,2,1,0
1,3,4,5,6,5,5,2,4,6,0
1,3,7,3,5,1,4,3,1,2,0
1,3,2,10,1,6,3,2,1,2,0
1,3,1,2,3,7,12,3,1,2,0
1,3,1,1,4,5,4,7,1,3,0
1,3,2,1,3,2,6,1,2,1,0
1,3,4,7,6,2,2,8,2,1,0
1,3,1,5,9,6,7,3,4,1,0
1,3,6,3,3,3,1,1,1,5,0
1,3,3,5,5,10,4,4,1,2,0
1,3,5,1,1,2,4,1,3,3,0
1,3,5,2,3,5,3,1,2,1,0
1,3,1,3,1,4,1,16,3,7,0
1,3,3,4,15,2,2,13,12,3,0
1,3,1,8,14,2,2,2,2,2,0
1,3,3,2,6,3,1,1,9,5,0
1,3,1,1,2,2,3,1,1,1,0
1,3,1,4,2,1,5,7,2,4,0
1,3,7,3,1,2,5,2,9,3,0
1,3,3,4,1,3,6,3,4,8,0
1,3,1,3,1,3,2,2,4,1,0
1,3,3,1,1,1,1,1,2,3,0
1,3,2,2,2,2,1,1,3,1,0
1,3,9,4,2,3,2,1,4,1,0
1,3,2,1,1,1,2,2,1,1,0
1,3,2,1,3,6,3,1,2,1,0
1,3,5,1,1,3,1,1,1,3,0
1,3,1,1,1,1,4,1,2,1,0
1,3,13,1,4,7,7,2,7,5,0
1,3,14,1,8,4,7,3,2,3,0
1,3,3,3,4,1,4,9,4,5,0
1,3,8,5,12,19,2,3,1,2,0
1,3,1,1,1,7,5,7,8,2,0
1,3,1,1,7,3,1,2,5,1,0
1,3,2,2,2,2,2,6,3,1,0
1,3,1,2,1,5,15,9,3,2,0
1,3,4,2,3,1,3,5,1,6,0
1,3,1,2,3,3,2,5,4,7,0
1,3,2,3,2,1,1,2,1,4,0
1,3,1,1,5,1,2,1,3,3,0
1,3,8,1,2,1,9,2,4,1,0
1,3,5,6,1,2,3,2,2,2,0
1,3,5,2,4,1,4,2,5,2,0
1,3,7,1,3,9,4,2,5,3,0
1,3,4,2,5,2,2,1,1,3,0
1,3,1,1,1,2,1,1,3,1,0
1,3,1,4,1,4,3,2,1,2,0
1,3,1,4,1,1,3,1,1,1,0
1,3,2,4,1,1,1,1,2,3,0
1,3,9,14,4,1,4,10,3,2,0
1,3,10,3,6,4,2,2,3,1,0
1,3,2,5,6,1,12,1,6,2,0
1,3,5,2,2,4,1,5,8,5,0
1,3,4,2,4,9,8,3,5,2,0
1,3,16,7,6,10,4,10,9,10,0
1,3,4,4,8,3,7,1,9,1,0
1,3,3,3,2,15,27,5,9,8,0
1,3,5,4,11,12,10,7,6,6,0
1,3,2,3,6,3,1,1,5,4,0
1,3,11,2,19,5,11,12,5,9,0
1,4,1,1,1,1,1,11,1,1,0
1,4,4,2,4,1,5,6,2,1,0
1,4,8,5,9,4,3,1,3,1,0
1,4,18,4,25,5,9,24,16,8,0
1,4,10,2,6,2,7,2,2,4,0
1,4,14,4,1,8,2,1,4,4,0
1,4,1,3,2,1,2,2,7,7,0
1,4,6,3,6,3,3,3,13,11,0
1,4,40,44,10,32,15,37,25,9,0
1,4,2,2,3,5,12,2,1,1,0
1,4,2,1,1,2,7,3,11,2,0
1,4,3,3,1,3,3,7,3,6,0
1,4,1,4,1,3,3,2,6,4,0
1,4,1,6,2,4,2,7,1,3,0
1,4,3,2,4,3,3,3,2,4,0
1,4,3,6,2,7,2,4,1,2,0
1,4,8,6,6,1,4,3,2,1,0
1,4,5,9,15,2,4,1,1,2,0
1,4,6,4,2,10,23,15,2,13,0
1,4,4,3,1,16,16,8,3,9,0
1,4,2,3,3,1,6,5,5,2,0
1,4,4,4,4,6,2,1,1,1,0
1,4,1,3,5,5,1,9,4,2,0
1,4,3,3,1,1,5,1,1,4,0
1,4,1,9,6,1,1,5,5,1,0
1,4,5,17,2,6,2,2,6,2,0
1,4,2,3,2,7,1,9,3,1,0
1,4,5,5,1,2,1,2,2,1,0
1,4,2,4,4,1,1,1,3,1,0
1,4,15,2,3,6,13,8,10,9,0
1,4,1,2,2,10,4,6,7,4,0
1,4,4,11,3,6,13,17,2,3,0
1,4,1,5,1,2,1,5,1,1,0
1,4,1,9,1,11,6,6,4,4,0
1,4,2,3,4,1,2,2,1,5,0
1,4,2,2,1,1,1,1,2,4,0
1,4,5,8,1,5,2,2,4,11,0
1,4,5,2,5,4,2,18,4,5,0
1,4,4,5,1,1,1,5,1,15,0
1,4,6,3,5,2,3,1,2,1,0
1,4,9,1,2,7,6,4,2,2,0
1,4,2,1,2,1,5,3,2,3,0
1,4,3,3,3,6,5,8,8,1,0
1,4,25,9,3,4,4,8,1,9,0
1,4,7,3,24,16,1,6,15,5,0
1,4,2,3,2,2,2,1,2,5,0
1,4,1,1,1,11,1,2,3,1,0
1,4,1,1,1,2,1,1,5,2,0
1,4,5,2,3,1,2,6,4,5,0
1,4,1,1,3,9,4,11,5,4,0
1,4,2,2,12,2,5,4,1,3,0
1,4,8,1,5,3,12,2,9,3,0
1,4,1,4,6,4,6,7,3,4,0
1,4,8,2,3,13,5,10,4,6,0
1,4,3,1,10,14,4,2,2,1,0
1,4,1,3,27,10,15,18,14,10,0
1,4,4,6,12,9,5,8,3,11,0
1,4,1,8,1,4,2,4,4,2,0
1,4,3,2,2,4,2,3,3,2,0
1,5,4,3,1,1,16,5,3,7,0
1,5,5,6,5,12,11,7,11,13,0
1,5,2,8,2,8,8,15,10,12,0
1,5,3,1,2,1,2,3,3,3,0
1,5,4,1,4,5,1,3,4,1,0
1,5,4,2,2,1,2,4,3,7,0
1,5,3,3,10,3,7,5,2,6,0
1,5,3,3,7,1,3,1,8,6,0
1,5,3,16,3,6,14,5,5,2,0
1,5,1,1,1,5,1,1,4,6,0
1,5,2,2,6,16,7,12,1,6,0
1,5,2,7,2,1,8,5,6,2,0
1,5,1,16,5,2,2,22,34,17,0
1,5,7,1,11,3,5,9,8,3,0
1,5,9,7,10,28,13,23,12,2,0
1,5,6,5,6,25,9,30,3,192,0
1,5,12,17,1,3,4,51,38,53,0
1,5,25,25,15,27,13,9,30,35,0
1,5,2,2,2,1,3,1,7,5,0
1,5,5,2,1,1,4,1,1,3,0
1,5,1,2,4,3,1,9,1,4,0
1,5,10,14,4,4,1,1,1,2,0
1,5,6,1,1,2,1,2,4,11,0
1,5,7,10,1,2,8,4,2,3,0
1,5,6,1,6,3,5,4,5,5,0
1,5,7,1,2,2,6,3,2,3,0
1,5,2,7,2,1,2,2,4,1,0
1,5,1,8,7,6,10,3,3,13,0
1,5,6,5,3,9,4,6,6,4,0
1,5,10,1,14,5,4,1,8,6,0
1,5,4,12,26,16,1,16,9,3,0
1,5,3,2,1,2,1,4,1,2,0
1,5,2,1,3,1,2,1,2,2,0
1,5,2,3,1,3,2,1,7,3,0
1,5,3,2,2,5,1,1,9,1,0
1,5,1,8,10,4,2,13,1,4,0
1,5,3,5,1,1,2,1,1,3,0
1,6,2,3,3,7,4,5,3,3,0
1,6,2,7,23,28,13,18,7,20,0
1,6,10,9,16,19,7,6,6,8,0
1,6,1,3,8,13,13,15,4,15,0
1,6,8,23,1,3,5,6,6,1,0
1,6,3,2,2,4,2,5,3,3,0
1,6,3,5,4,2,1,3,5,4,0
1,6,9,6,6,5,28,35,24,4,0
1,6,8,1,8,2,8,16,2,8,0
1,6,4,2,9,4,5,11,6,7,0
1,6,1,29,36,46,25,5,24,17,0
1,6,4,1,1,1,2,1,1,2,0
1,6,6,1,3,1,7,4,6,1,0
1,6,3,15,18,9,4,4,2,23,0
1,6,9,1,1,2,1,4,1,5,0
1,6,2,4,2,7,2,2,2,7,0
1,6,7,5,5,11,1,5,2,1,0
1,6,14,4,8,3,20,11,9,17,0
1,6,28,1,16,15,3,2,6,7,0
1,6,2,5,2,1,4,3,1,1,0
1,6,1,4,12,2,11,1,1,13,0
1,6,6,10,5,13,8,6,6,6,0
1,6,7,3,5,3,3,1,3,2,0
1,6,4,2,8,5,3,1,2,1,0
1,6,3,1,1,1,2,4,1,2,0
1,6,1,2,1,1,2,3,4,1,0
1,6,1,2,1,4,2,15,1,11,0
1,6,5,4,1,4,11,1,6,11,0
1,6,3,2,12,11,10,7,3,7,0
1,7,19,11,3,15,13,10,15,5,0
1,7,10,5,5,1,4,7,4,3,0
1,7,1,1,2,8,1,4,1,5,0
1,7,6,13,2,3,1,3,1,7,0
1,7,9,3,4,15,5,3,6,4,0
1,7,2,9,2,1,12,4,5,3,0
1,7,12,7,1,9,1,16,10,1,0
1,7,1,5,4,1,1,1,1,4,0
1,7,3,3,5,3,1,8,20,14,0
1,7,4,5,9,13,19,1,1,12,0
1,7,14,3,6,2,1,6,4,1,0
1,7,1,1,5,2,2,5,3,1,0
1,7,9,1,8,19,7,5,6,12,0
1,7,3,7,9,3,1,3,1,2,0
1,7,16,11,5,2,1,2,8,1,0
1,7,2,2,1,4,10,5,2,4,0
1,7,3,2,2,1,1,1,1,8,0
1,7,5,8,5,2,1,1,2,2,0
1,7,5,4,3,5,1,3,2,4,0
1,7,7,8,4,1,7,21,14,2,0
1,7,1,6,11,6,1,5,3,5,0
1,7,2,6,3,1,7,1,3,2,0
1,7,2,2,1,2,1,4,2,1,0
1,7,1,1,2,1,1,1,3,1,0
1,8,14,6,11,6,6,3,7,4,0
1,8,11,8,1,1,3,8,6,5,0
1,8,2,3,4,1,4,1,3,5,0
1,8,5,13,6,19,8,3,7,4,0
1,8,6,2,1,5,20,3,8,10,0
1,8,2,2,5,2,15,4,4,3,0
1,8,5,8,1,14,1,4,2,3,0
1,8,3,4,14,7,6,3,2,13,0
1,8,3,5,6,3,5,1,1,4,0
1,8,1,10,20,25,8,2,11,3,0
1,8,4,1,3,5,2,1,1,1,0
1,9,2,3,3,1,5,2,5,1,0
1,9,1,2,1,5,1,6,4,6,0
1,9,1,1,4,1,3,1,9,1,0
1,9,3,1,1,6,5,4,9,1,0
1,9,11,1,43,25,11,35,25,28,0
1,9,1,4,2,1,3,2,6,4,0
1,9,14,3,16,19,21,3,10,13,0
1,9,3,1,3,1,3,6,13,8,0
1,9,9,50,71,151,61,104,22,48,0
1,9,2,1,8,2,2,4,1,8,0
1,9,20,24,18,17,7,8,3,4,0
1,9,5,8,1,10,5,6,5,5,0
1,9,4,1,2,6,1,3,3,3,0
1,9,1,9,11,4,5,7,9,2,0
1,9,3,6,7,14,2,9,6,1,0
1,10,5,1,5,2,5,1,2,1,0
1,10,7,13,4,4,15,13,18,13,0
1,10,5,4,8,4,4,6,2,1,0
1,10,10,10,3,4,25,20,24,15,0
1,10,29,6,34,15,18,1,14,17,0
1,10,1,2,7,5,2,1,3,1,0
1,10,4,3,1,2,5,2,1,12,0
1,10,29,23,23,2,41,2,25,3,0
1,10,1,2,4,8,1,2,2,2,0
1,10,1,2,4,1,10,7,4,9,0
1,10,7,2,9,3,7,2,9,4,0
1,11,30,15,35,5,1,1,1,3,0
1,11,17,1,10,6,7,33,20,39,0
1,11,7,5,9,7,2,12,3,4,0
1,11,1,1,2,1,2,2,1,3,0
1,11,9,6,4,9,2,3,2,5,0
1,11,16,11,13,11,9,20,8,7,0
1,11,12,6,9,9,3,5,11,5,0
1,11,2,1,1,1,1,3,2,12,0
1,11,6,9,5,22,13,11,2,20,0
1,12,5,2,6,13,3,10,5,7,0
1,12,3,6,4,9,5,2,6,2,0
1,12,2,3,1,10,15,6,13,4,0
1,13,18,10,13,9,6,6,17,5,0
1,13,5,4,2,2,4,2,10,1,0
1,13,5,29,4,6,4,11,8,22,0
1,13,13,3,7,12,3,4,10,4,0
1,14,15,1,10,6,9,3,5,10,0
1,14,10,3,1,10,6,4,10,30,0
1,14,2,3,6,3,1,1,1,3,0
1,14,4,2,4,3,15,3,1,4,0
1,14,1,12,10,16,16,26,4,2,0
1,15,4,6,12,1,5,3,4,8,0
1,15,7,15,10,3,6,2,11,3,0
1,16,5,29,8,15,9,3,5,4,0
1,16,17,17,3,8,17,2,2,1,0
1,16,14,19,16,5,6,18,34,27,0
1,16,2,27,20,13,25,10,40,20,0
1,16,14,15,17,8,7,13,13,5,0
1,18,25,21,15,25,15,12,26,18,0
1,18,5,3,6,6,2,4,8,7,0
1,18,1,7,5,2,3,9,1,8,0
1,18,2,1,1,1,1,1,1,4,0
1,21,3,10,9,2,4,36,45,4,0
1,21,31,10,4,8,7,15,3,1,0
1,21,4,18,1,3,11,7,10,4,0
1,23,4,10,15,18,4,13,38,17,0
1,23,2,1,12,1,2,2,6,22,0
1,24,18,17,11,4,3,15,6,2,0
1,26,26,33,20,11,9,17,13,7,0
1,30,9,61,27,32,17,14,8,3,0
1,33,36,12,26,5,10,11,4,10,0
1,34,29,16,29,8,11,9,11,1,0
1,43,30,43,41,31,17,50,9,2,0
1,52,18,89,17,14,15,13,16,28,0
1,52,18,19,20,13,6,9,19,2,0
2,1,8,3,3,3,2,2,1,1,0
2,1,12,2,1,4,11,4,28,10,0
2,1,4,1,31,2,3,3,1,9,0
2,1,4,14,5,1,7,1,8,1,0
2,1,2,1,3,1,1,1,3,3,0
2,1,2,3,1,1,2,9,4,7,0
2,1,2,1,1,4,5,1,5,2,0
2,1,3,1,1,10,8,2,2,3,0
